ID,Start time,Completion time,Email,Name,Last modified time,"Among the options below, what is your favorite movie genre?","Among the options below, what is your favorite music genre?","Among the options below, what is your favorite type of video game?"
1,12/10/25 10:26:02,12/10/25 10:26:21,anonymous,,,Comedy,Jazz,Strategy/Puzzles
2,12/10/25 10:26:40,12/10/25 10:27:00,anonymous,,,Action/Thriller,Country ,Action/Adventure
3,12/10/25 10:26:32,12/10/25 10:27:02,anonymous,,,Sci-Fi/Fantasy,Rap/Pop/Techno,Action/Adventure
4,12/10/25 10:26:08,12/10/25 10:27:04,anonymous,,,Action/Thriller,Country ,Action/Adventure
5,12/10/25 10:26:46,12/10/25 10:27:05,anonymous,,,Horror/Mystery,Country ,Action/Adventure
6,12/10/25 10:26:41,12/10/25 10:27:20,anonymous,,,Sci-Fi/Fantasy,Rap/Pop/Techno,Action/Adventure
7,12/10/25 10:26:57,12/10/25 10:27:23,anonymous,,,Horror/Mystery,Rap/Pop/Techno,Action/Adventure
8,12/10/25 10:26:37,12/10/25 10:27:27,anonymous,,,Comedy,Rap/Pop/Techno,Strategy/Puzzles
9,12/10/25 10:27:01,12/10/25 10:27:28,anonymous,,,Comedy,Country ,Action/Adventure
10,12/10/25 10:26:42,12/10/25 10:27:32,anonymous,,,Action/Thriller,Rock,Strategy/Puzzles
11,12/10/25 10:27:17,12/10/25 10:27:39,anonymous,,,Action/Thriller,Rock,Action/Adventure
12,12/10/25 10:27:31,12/10/25 10:28:06,anonymous,,,Sci-Fi/Fantasy,Rock,Action/Adventure
13,12/10/25 10:27:03,12/10/25 10:28:16,anonymous,,,Sci-Fi/Fantasy,Rap/Pop/Techno,Role-Playing Games (RPGS)
14,12/10/25 10:28:24,12/10/25 10:29:15,anonymous,,,Drama/Romance,Country ,Action/Adventure
15,12/10/25 10:28:38,12/10/25 10:29:21,anonymous,,,Action/Thriller,Rap/Pop/Techno,Action/Adventure
16,12/10/25 10:29:33,12/10/25 10:29:51,anonymous,,,Action/Thriller,Rap/Pop/Techno,Role-Playing Games (RPGS)
17,12/10/25 10:29:49,12/10/25 10:30:19,anonymous,,,Comedy,Rap/Pop/Techno,Action/Adventure
18,12/10/25 10:29:27,12/10/25 10:30:23,anonymous,,,Sci-Fi/Fantasy,Rap/Pop/Techno,Strategy/Puzzles
19,12/10/25 10:29:16,12/10/25 10:30:24,anonymous,,,Comedy,Rap/Pop/Techno,Action/Adventure
20,12/10/25 10:30:02,12/10/25 10:30:27,anonymous,,,Action/Thriller,Classical,Action/Adventure
21,12/10/25 10:28:44,12/10/25 10:30:28,anonymous,,,Action/Thriller,Rap/Pop/Techno,Action/Adventure
22,12/10/25 10:30:14,12/10/25 10:30:58,anonymous,,,Comedy,Country ,Role-Playing Games (RPGS)
23,12/10/25 10:30:32,12/10/25 10:31:37,anonymous,,,Sci-Fi/Fantasy,Rap/Pop/Techno,Action/Adventure
24,12/10/25 10:32:05,12/10/25 10:32:31,anonymous,,,Don't watch movies,Rap/Pop/Techno,Role-Playing Games (RPGS)
